All Relief Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Adam Liberatore RP  LAD"	29.7	0	0	0	2	2	0	1	29	9	26	4.25	1.18	732
"Marcos Mateo RP  SD "	27.0	0	0	0	1	1	0	1	33	9	22	4.00	1.15	740
"Enrique Burgos RP  ARI"	27.0	0	0	0	2	2	2	2	39	15	27	4.67	1.56	743
"Sean Doolittle RP  OAK "	13.7	0	0	0	1	0	4	1	15	5	12	3.95	1.24	746
"Neftali Feliz RP  PIT "	48.0	0	0	0	3	4	10	7	39	18	57	6.38	1.56	747
"Dan Jennings RP  CHW "	56.3	0	0	0	2	3	0	0	46	24	55	3.99	1.40	749
"Pat Venditte RP  TOR"	28.7	0	0	0	2	2	0	0	23	12	22	4.39	1.19	755
"Juan Nicasio RP  PIT "	58.3	1	0	0	1	3	1	2	65	32	59	3.86	1.56	758
"Rafael Martin RP  WAS"	12.3	0	0	0	2	0	0	0	25	5	12	5.11	1.38	761
"Casey Janssen RP  SD "	40.0	0	0	0	2	5	0	3	27	8	38	4.95	1.15	762
"Tony Zych RP  SEA "	18.3	1	0	0	0	0	0	0	24	3	17	2.45	1.09	763
"Jason Frasor RP  ATL"	28.0	0	0	0	1	0	0	1	22	18	27	1.29	1.61	764
"Brandon Cunniff RP  ATL "	35.0	0	0	0	2	2	0	2	37	22	27	4.63	1.40	765
"Rob Scahill RP  PIT"	30.7	0	0	0	2	4	0	0	24	16	33	2.64	1.60	766
"Silvino Bracho RP  ARI"	12.3	0	0	0	0	0	1	0	17	4	9	1.46	1.05	767
"Cesar Jimenez RP  MIL "	23.0	0	0	0	0	0	0	0	25	8	17	3.13	1.09	769
"Jean Machi RP  CHC"	58.0	0	0	0	2	0	4	0	42	22	59	5.12	1.40	771
"Manny Parra RP  CIN"	32.3	0	0	0	1	2	0	1	23	6	32	3.90	1.18	773
"Jerry Blevins RP  NYM "	5.0	0	0	0	1	0	0	1	4	0	0	0.00	0.00	774
""Jenrry Mejia RP  NYM ""	7.3	0	0	0	1	0	0	0	7	2	4	0.00	0.82	777
"Ryan Dull RP  OAK"	17.0	0	0	0	1	2	1	1	16	6	12	4.24	1.06	778
"Randy Choate RP  STL"	27.3	0	0	0	1	0	1	0	22	5	29	3.95	1.24	779
"Burke Badenhop RP  WAS "	66.3	0	0	0	2	4	0	2	36	20	71	3.94	1.37	780
"Heath Hembree RP  BOS"	25.3	0	0	0	2	0	0	0	15	9	25	3.55	1.34	781
"Matt Belisle RP  STL "	33.7	0	0	0	1	1	0	1	25	15	34	2.67	1.46	782
"Zac Rosscup RP  CHC"	26.7	0	0	0	2	1	0	2	29	13	26	4.39	1.46	784
"Roberto Hernandez SP  TOR"	84.7	11	5	0	3	5	0	0	42	26	90	4.36	1.37	786
"David Aardsma RP  TOR "	30.7	0	0	0	1	1	0	3	35	14	25	4.70	1.27	787
"Tyler Thornburg RP  MIL"	34.3	0	0	0	0	2	0	0	34	12	31	3.67	1.25	789
"David Hernandez RP  PHI "	33.7	0	0	0	1	5	0	0	33	11	33	4.28	1.31	790
"Austin Adams RP  CLE"	33.3	0	0	0	2	0	1	0	23	13	37	3.78	1.50	791
"Alex Claudio RP  TEX "	15.7	0	0	0	1	1	0	1	13	6	12	2.87	1.15	792
"Dale Thayer RP  SD "	37.7	0	0	0	2	2	0	1	25	15	37	4.06	1.38	793
"Jordan Walden RP  STL "	10.3	0	0	0	0	1	1	0	12	4	7	0.87	1.06	796
"Sam Freeman RP  TEX"	38.3	0	0	0	0	0	0	0	40	25	31	3.05	1.46	798
"Joe Beimel RP  SEA"	47.3	0	0	0	2	1	1	2	22	16	49	3.99	1.37	799
"Jose Dominguez RP  TB "	5.7	0	0	0	1	0	0	0	5	2	2	0.00	0.71	802
"Steve Delabar RP  TOR "	29.3	0	0	0	2	0	1	3	30	14	28	5.22	1.43	804
"Pedro Villarreal RP  CIN "	50.0	0	0	0	1	3	0	0	29	12	57	3.42	1.38	805
"Jairo Diaz RP  COL"	19.0	0	0	0	0	1	0	1	18	6	16	2.37	1.16	806
"Ian Thomas RP  LAD"	23.3	1	0	0	1	1	0	0	23	11	20	3.86	1.33	812
"Joe Thatcher RP  CLE"	22.7	0	0	0	1	3	0	0	26	12	23	3.18	1.54	813
"Neil Ramirez RP  CHC"	14.0	0	0	0	1	0	0	0	15	6	12	3.21	1.29	815
"Ernesto Frieri RP  PHI"	23.3	0	0	0	1	0	2	1	19	11	20	4.63	1.33	816
"Alex Torres RP  ATL "	34.3	0	0	0	0	0	1	1	35	26	26	3.15	1.51	821
"Yhonathan Barrios RP  MIL"	6.7	0	0	0	0	0	0	0	7	0	3	0.00	0.45	822
"Tanner Scheppers RP  TEX "	38.3	0	0	0	4	1	0	3	32	23	37	5.63	1.57	823
"Scott Carroll RP  CHW"	36.7	0	0	0	1	1	0	0	27	13	40	3.44	1.45	826
"Sammy Solis RP  WAS"	21.3	0	0	0	1	1	0	0	17	4	25	3.38	1.36	830
"Yohan Flande SP  COL "	68.3	10	1	0	3	3	0	0	43	25	73	4.74	1.43	834
"Bruce Rondon RP  DET"	31.0	0	0	0	1	0	5	4	36	19	31	5.81	1.61	837
