Free Agent Relief Pitchers  Season   Projections Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Tommy Kahnle RP  CHW"	66.3	0	0	0	1	2	2	0	70	53	56	3.94	1.64	933
"Kevin McCarthy RP  KC"	33.0	0	0	0	2	1	2	0	29	15	35	4.64	1.52	934
"Erasmo Ramirez RP  TB "	18.7	0	0	0	1	2	1	0	14	5	17	3.86	1.18	937
"Ryan Garton RP  TB"	31.7	0	0	0	1	2	2	0	27	9	36	4.26	1.42	945
"Silvino Bracho RP  ARI"	34.0	0	0	0	2	4	2	0	32	13	37	5.29	1.47	949
"Jose Urena RP  MIA"	118.7	20	8	0	8	9	2	0	70	44	134	5.76	1.50	952
"Kirby Yates RP  LAA"	65.0	0	0	0	3	1	0	0	75	27	67	6.09	1.45	953
"Logan Ondrusek RP  BAL "	40.3	0	0	0	2	2	2	0	34	16	43	5.13	1.46	955
"Scott Alexander RP  KC"	49.7	0	0	0	1	1	1	0	40	20	57	3.62	1.55	962
"Logan Verrett RP  BAL "	22.0	0	0	0	1	1	2	0	16	9	21	4.50	1.36	968
"Trevor Williams RP  PIT"	118.7	15	5	0	5	8	2	1	106	46	142	5.46	1.58	972
"Gabriel Ynoa RP  NYM"	118.7	13	5	0	5	7	2	0	109	45	148	5.38	1.63	978
"Enny Romero RP  TB"	63.0	0	0	0	3	2	2	0	68	34	68	5.71	1.62	979
"Scott Oberg RP  COL "	74.3	0	0	0	3	4	2	0	57	38	75	5.21	1.52	980
"Sam Tuivailala RP  STL"	26.3	0	0	0	1	1	0	0	29	14	27	4.10	1.56	981
"Greg Mahle RP  LAA"	30.7	0	0	0	2	1	1	0	25	15	35	4.70	1.63	986
"Tyler Cravy RP  MIL"	19.0	0	0	0	1	2	0	0	15	9	18	4.74	1.42	996
"Matt Grace RP  WAS"	25.0	0	0	0	1	1	0	0	20	10	31	3.60	1.64	997
"Kevin Chapman RP  HOU"	30.3	0	0	0	1	1	2	0	29	14	36	5.04	1.65	1002
"Michael Lorenzen RP  CIN"	25.0	0	0	0	1	1	0	0	18	11	26	4.68	1.48	1006
"Chris Rusin RP  COL"	20.3	0	0	0	1	1	0	0	14	6	24	4.87	1.48	1007
"Joe Kelly RP  BOS "	18.3	0	0	0	1	1	0	0	13	8	20	4.91	1.53	1009
"Wandy Peralta RP  CIN"	34.0	0	0	0	1	1	2	0	29	18	38	5.03	1.65	1010
"Shane Greene RP  DET"	24.7	0	0	0	1	1	2	0	19	8	28	6.57	1.46	1017
"Severino Gonzalez RP  PHI "	20.0	0	0	0	1	1	0	0	19	4	25	6.75	1.45	1023
"Jose Ramirez RP  ATL"	27.0	0	0	0	1	2	0	0	25	19	27	5.33	1.70	1024
"Jordan Lyles RP  COL "	29.7	0	0	0	1	1	2	0	14	13	34	5.46	1.58	1025
"Rafael Montero RP  NYM"	24.3	0	0	0	1	2	2	0	27	17	27	6.66	1.81	1026
"Keith Hessler RP  SD"	35.3	0	0	0	2	2	0	0	24	18	41	5.60	1.67	1028
"Cody Martin RP  SEA "	23.7	0	0	0	1	1	0	0	18	9	29	6.08	1.61	1029
"Buck Farmer RP  DET"	118.7	19	8	0	8	9	0	0	87	63	133	6.22	1.65	1031
"Chris Beck RP  CHW"	37.0	0	0	0	3	3	0	0	26	25	46	6.32	1.92	1033
"Pat Light RP  MIN"	37.0	0	0	0	1	2	1	0	35	26	44	8.03	1.89	1036
"Cole White RP  COL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Matt A. Smith RP  CHW"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Jose Leclerc RP  TEX"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Yunesky Maya RP  LAA"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Eddie Butler SP  COL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Jake Brigham RP  ATL "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Arnold Leon RP  TOR"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Jose Cisnero P  ARI"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"John Kuchno RP  PIT"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Ryne Miller RP  BOS"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Al Alburquerque RP  KC "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Jeff Mandel RP  WAS"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Kevin Allen P  KC"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Jordan Walden RP  ATL "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Curtis Partch RP  PIT"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Mitch Lively RP  WAS"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Rafael Soriano RP  TOR"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Justin Sturge RP  BOS"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Ryan Robowski RP  DET"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Victor Kleine RP  CLE"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Justin Thomas RP  WAS"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Adrian Martin RP  SF"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Carlos Melo P  CLE"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Nate Striz P  COL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Chris Petrini RP  BAL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Jim Ed Warden RP  WAS"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Andrew Walker RP  TEX"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Andrew Shipman RP  OAK"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Matt Magill RP  CIN"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Grant Sides P  CLE"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Matt Long RP  CHW"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Austin Pruitt RP  TB"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Joe Blanton RP  LAD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Jacob Wild RP  SEA"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Rhiner Cruz RP  HOU"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Marquis Fleming RP  TB"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Tony Davis P  TOR"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Alberto Bastardo RP  LAD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Johnny Barbato RP  NYY"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Rayan Gonzalez RP  COL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Carlos Frias RP  LAD "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
