All Outfielders 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Jack Larsen RF  SEA "	1	0	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	1483
"Ka'ai Tom RF  SF"	1	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	1483
"Yusniel Diaz RF  LAD"	1	0	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	1483
"Brewer Hicklen LF  KC"	4	1	0	0	0	0	0	0	0	4	0	0	.000	.000	.000	1494
"Ender Inciarte LF  NYM"	8	1	1	1	0	0	0	0	0	0	0	0	.125	.125	.125	1496
"Heliot Ramos RF  SF "	20	4	2	2	0	0	0	0	2	6	0	0	.100	.182	.100	1498
"Bryce Johnson CF  SF"	18	1	2	2	0	0	0	2	1	7	0	0	.111	.158	.111	1506
"Drew Jackson RF  OAK"	3	0	0	0	0	0	0	0	0	1	0	0	.000	.000	.000	1507
"DJ Stewart LF  NYM"	3	0	0	0	0	0	0	0	0	2	0	0	.000	.000	.000	1507
"Cole Tucker RF  COL"	63	3	11	9	1	1	0	2	0	25	1	0	.175	.175	.222	1512
"Simon Muzziotti CF  PHI "	7	0	1	1	0	0	0	0	0	2	0	0	.143	.250	.143	1514
"Mickey McDonald CF  OAK"	4	0	0	0	0	0	0	0	2	3	0	0	.000	.333	.000	1521
"Jason Krizan LF  SF"	8	0	1	1	0	0	0	0	2	3	0	0	.125	.300	.125	1526
"Dillon Thomas LF  LAA"	11	1	1	1	0	0	0	0	2	6	0	0	.091	.286	.091	1530
"Luis Liberato CF  SD"	5	0	0	0	0	0	0	0	0	3	0	0	.000	.000	.000	1532
"Travis Swaggerty LF  PIT "	9	0	1	1	0	0	0	0	0	4	0	0	.111	.111	.111	1538
"Steven Souza RF  SEA"	19	0	3	3	0	0	0	1	0	8	0	0	.158	.158	.158	1539
"Kevin Pillar LF  ATL "	12	1	1	0	1	0	0	0	1	4	0	0	.083	.154	.167	1541
"Max Schrock RF  SD"	26	1	4	4	0	0	0	1	1	6	0	0	.154	.185	.154	1546
"Justin Upton RF  SEA"	48	2	6	4	1	0	1	3	6	23	0	0	.125	.263	.208	1549
"Mike Siani CF  CIN "	24	1	4	4	0	0	0	0	0	7	0	1	.167	.167	.167	1550
"Juan Lagares RF  LAA"	60	4	11	8	2	1	0	0	2	15	0	0	.183	.210	.250	1561
"Billy McKinney RF  NYY"	52	3	5	3	1	0	1	4	4	16	0	0	.096	.158	.173	1565
"Brent Rooker LF  OAK"	32	1	4	3	1	0	0	2	3	11	0	0	.125	.222	.156	1571
"Matt Beaty RF  KC "	43	6	4	2	1	1	0	1	2	8	0	0	.093	.170	.163	1572
"Aaron Whitefield RF  LAA"	11	0	0	0	0	0	0	0	0	5	0	0	.000	.000	.000	1582
"Tim Beckham LF  MIN"	25	1	2	2	0	0	0	1	0	9	0	0	.080	.080	.080	1586
"Jose Rojas 3B  SF"	56	1	7	5	2	0	0	1	0	19	0	0	.125	.140	.161	1611
"Carl Chester CF  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Clark Scolamiero LF  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Joshua Baez RF  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Bralin Jackson CF  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Orlando Martinez RF  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Kevin Garcia LF  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Robert Gonzalez RF  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Reece Hampton RF  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Michael Medina RF  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cameron Flynn CF  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Auston Bousfield CF  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cornelius Randolph LF  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Brandol Mezquita RF  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jose Medina LF  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Bo Way CF  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"DJ Peters CF  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Rubi Silva CF  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Austin Hendrick RF  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Manny Sanchez LF  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jose Almonte RF  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Mike Gerber RF  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matt Gorski CF  PIT "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"D.J. Davis CF  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tyler Frost RF  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Anthony Giansanti LF  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ross Adolph CF  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jordan Viars LF  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"T.J. Nichting RF  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Yerlin Confidan LF  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
