All Players   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
W ,J.T. Brubaker SP | PIT,158,29,29,9,0,6,11,0,0,0,156,50,161,4.21,1.34,577
W ,Braxton Garrett SP | MIA,147,29,29,9,0,6,9,0,0,0,147,42,148,4.35,1.29,578
W ,Penn Murfee RP | SEA ,66,69,0,0,0,4,1,1,0,9,73,17,49,3.14,1.00,579
W ,John Schreiber RP | BOS ,69,78,0,0,0,3,4,1,0,31,96,24,57,2.74,1.17,580
W ,Graham Ashcraft SP | CIN ,162,29,29,15,0,6,10,0,0,0,118,51,160,3.67,1.30,581
W ,Bailey Falter SP | PHI ,131,29,29,11,0,9,6,0,0,0,116,33,138,4.53,1.31,582
W ,Kyle Hendricks SP | CHC ,138,24,24,11,0,7,8,0,0,0,102,38,136,3.91,1.26,584
W ,German Marquez SP | COL,188,31,31,19,1,8,15,0,0,0,159,61,188,4.60,1.32,585
W ,Madison Bumgarner SP | ARI ,164,29,29,8,0,8,12,0,0,0,121,48,164,4.28,1.29,591
Disco Bush Horticulturists,Brad Keller SP | KC,164,29,29,14,0,9,14,0,0,0,126,57,172,4.06,1.40,592
Floaters and Sinkers,Mike Clevinger SP | CHW ,142,29,29,8,0,7,12,0,0,0,119,49,131,4.31,1.27,593
W ,Dean Kremer SP | BAL,163,29,29,10,1,8,11,0,0,0,116,48,169,4.03,1.33,596
W ,James Paxton SP | BOS ,143,28,28,10,0,7,9,0,0,0,144,49,151,4.15,1.40,598
W ,A.J. Minter RP | ATL,64,75,0,0,0,2,2,0,0,36,84,17,47,2.67,1.00,600
W ,Peter Strzelecki RP | MIL,68,65,0,0,0,5,2,1,0,10,81,30,57,2.91,1.28,603
W ,Brandon Hughes RP | CHC ,57,77,0,0,0,1,3,16,5,3,83,26,51,3.79,1.35,604
W ,Jordan Lyles SP | KC ,168,29,29,13,1,9,12,0,0,0,133,63,174,4.23,1.41,610
Orange-a-Tangs,Josiah Gray SP | WAS ,161,30,30,11,0,6,10,0,0,0,161,58,154,4.70,1.32,613
W ,Jalen Beeks RP | TB,59,28,16,3,0,4,3,0,0,1,64,20,45,2.59,1.10,618
EVIL EMPIRE ,MacKenzie Gore SP | WAS ,149,29,29,9,0,6,11,0,0,0,147,61,142,4.35,1.36,620
W ,Mitch Keller SP | PIT,152,29,29,11,0,5,11,0,0,0,129,54,153,3.73,1.36,621
W ,Taylor Rogers RP | SF,59,64,0,0,0,3,3,8,2,13,80,16,52,4.42,1.15,622
W ,Matt Bush RP | MIL ,62,71,0,0,0,3,1,1,0,25,75,18,44,3.48,1.00,623
W ,Mark Melancon RP | ARI ,62,67,0,0,0,2,3,26,4,3,50,26,70,4.36,1.55,629
W ,Patrick Corbin SP | WAS ,163,30,30,11,1,10,14,0,0,0,133,50,181,4.64,1.42,634
W ,Jonathan Hernandez RP | TEX,60,59,0,0,0,5,2,8,2,7,54,34,52,3.00,1.43,636
W ,Drew Pomeranz RP | SD ,57,63,0,0,0,1,1,7,1,27,59,24,46,1.90,1.23,639
W ,Dylan Lee RP | ATL,56,58,0,0,0,3,1,1,0,11,69,12,51,2.73,1.12,642
