All Players 3 Year Averages MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Keegan Thompson SP  CHC "	56.0	20	8	1	0	4	3	1	1	0	54	25	50	3.70	1.34	523
"Jesus Luzardo SP  MIA "	85.0	18	15	6	0	4	6	0	0	0	92	33	78	4.76	1.31	524
"Ian Kennedy RP  TEX"	40.1	42	0	0	0	2	3	12	3	4	40	15	41	4.69	1.39	526
"Seth Lugo RP  SD"	49.1	41	2	0	0	3	3	2	3	10	57	16	46	4.01	1.26	527
"Austin Gomber SP  COL"	89.2	23	15	6	0	5	6	0	0	0	78	30	86	4.72	1.29	528
"Dinelson Lamet RP  COL"	49.1	22	7	2	0	2	2	0	1	2	65	20	39	3.65	1.20	529
"Kyle Freeland SP  COL"	122.0	22	22	11	0	6	7	0	0	0	94	38	134	4.43	1.41	532
"Josh Staumont RP  KC"	43.0	44	0	0	0	3	2	3	1	10	51	24	33	3.77	1.33	533
"Jimmy Herget RP  LAA"	35.2	29	1	0	0	2	1	3	2	3	33	11	27	3.03	1.07	534
"Lucas Sims RP  CIN"	26.1	24	0	0	0	3	1	3	1	5	38	12	17	4.10	1.10	535
"Tylor Megill SP  NYM "	68.2	16	14	2	0	4	4	0	0	0	75	20	67	4.72	1.27	536
"Ryne Stanek RP  HOU"	44.1	47	0	0	0	2	2	1	2	13	52	25	31	2.84	1.26	538
"Adrian Sampson SP  CHC "	70.0	16	12	4	0	2	4	0	0	0	50	18	66	3.09	1.20	539
"Jose Alvarado RP  PHI"	38.2	44	0	0	0	4	1	2	1	13	54	26	30	3.96	1.45	540
"Connor Brogdon RP  PHI"	37.2	37	0	0	0	3	2	1	2	6	39	11	32	3.34	1.14	541
"Trevor May RP  OAK"	37.0	39	0	0	0	3	1	2	1	10	50	13	34	3.89	1.27	545
"Kwang Hyun Kim SP  STL"	48.2	12	9	3	0	3	2	1	0	0	35	17	42	2.96	1.21	546
"Bailey Falter SP  PHI "	58.2	21	8	3	0	4	2	0	0	1	54	12	60	4.29	1.23	547
"Jordan Lyles SP  KC "	139.0	25	24	9	0	8	10	0	0	0	109	44	152	5.12	1.41	548
"Mike Mayers RP  KC"	52.0	42	2	0	0	3	2	1	2	8	59	18	47	4.15	1.25	551
"Brooks Raley RP  NYM "	41.0	46	0	0	0	1	2	3	2	13	51	12	31	3.95	1.05	552
"George Kirby SP  SEA "	43.1	8	8	4	0	3	2	0	0	0	44	7	45	3.32	1.20	553
"David Robertson RP  NYM"	25.1	23	0	0	0	1	1	7	3	2	32	13	17	2.84	1.18	555
"Drew Steckenrider RP  OAK"	27.1	26	0	0	0	2	1	5	2	4	23	7	24	2.63	1.13	560
"Justin Steele SP  CHC"	58.2	15	11	3	0	3	4	0	0	0	62	26	54	3.53	1.36	561
"Jose Cisnero RP  DET "	38.2	41	0	0	0	3	2	1	2	10	40	20	30	3.03	1.29	562
"Drey Jameson SP  ARI "	24.1	4	4	3	0	3	0	0	0	0	24	7	20	1.48	1.11	563
"Elijah Morgan RP  CLE "	52.0	23	6	2	0	3	3	0	1	3	51	12	45	4.50	1.10	564
"Nabil Crismatt RP  SD"	52.1	34	0	0	0	3	1	0	1	3	48	16	50	3.44	1.26	566
"Tyler Duffey RP  CHC"	43.1	42	0	0	0	2	3	2	2	14	44	16	35	3.53	1.18	567
"Colin Holderman RP  PIT"	28.1	24	0	0	0	5	0	0	0	2	24	14	20	3.81	1.20	568
"Michael King RP  NYY"	47.0	22	3	0	0	3	3	0	1	6	51	17	41	3.83	1.23	569
"Zach Davies SP  ARI "	117.1	24	24	5	0	5	7	0	0	0	93	49	113	4.53	1.38	570
"Dane Dunning SP  TEX "	101.2	21	20	5	0	4	6	0	0	0	95	39	103	4.43	1.40	571
"Aaron Bummer RP  CHW "	30.2	34	0	0	0	3	2	1	3	11	40	15	26	2.94	1.34	572
"Ryan Yarbrough RP  KC "	97.0	20	13	4	0	4	6	0	0	0	74	20	102	4.64	1.26	574
