All Relief Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Michael Fulmer RP  DET "	29	24	0	0	0	1	2	9	2	7	29	9	31	4.04	1.38	822
"Drew Smyly SP  CHC "	50	25	12	3	0	4	4	0	0	0	50	16	51	4.50	1.34	823
"Chris Martin RP  CHC "	44	48	0	0	0	1	2	2	0	13	36	6	44	3.27	1.14	825
"David Price RP  LAD "	48	25	12	2	0	4	2	0	0	0	35	16	48	3.75	1.33	826
"Nick Wittgren RP  STL "	57	61	0	0	0	2	4	1	0	12	56	15	51	4.74	1.16	828
"Jhoulys Chacin RP  COL"	132	26	26	9	0	5	9	0	0	0	98	45	140	4.71	1.40	833
"Adbert Alzolay SP  CHC "	36	17	8	2	0	3	4	0	0	0	37	11	31	4.50	1.17	841
"Blake Taylor RP  HOU"	42	61	0	0	0	3	3	1	0	7	45	25	40	3.21	1.55	842
"Kris Bubic SP  KC"	135	26	26	11	0	5	11	0	0	0	108	57	144	4.47	1.49	843
"Alex Reyes RP  STL "	17	16	0	0	0	1	1	6	1	2	21	11	10	3.18	1.24	845
"Austin Adams RP  SD"	41	61	0	0	0	1	2	1	0	11	65	30	24	4.39	1.32	846
"John Gant SP  MIN"	52	25	14	1	0	4	6	0	0	1	44	32	43	3.98	1.44	847
"Wandy Peralta RP  NYY"	50	59	0	0	0	3	2	1	0	6	46	22	50	3.78	1.44	848
"Daniel Bard RP  COL"	60	61	0	0	0	4	6	3	1	7	77	33	64	5.10	1.62	849
"Paul Campbell RP  MIA"	59	28	16	5	0	5	6	0	0	0	57	19	61	5.49	1.36	850
"Bryan Shaw RP  CLE"	56	62	0	0	0	3	3	1	0	16	49	28	51	4.02	1.41	853
"J.B. Wendelken RP  ARI"	65	69	0	0	0	4	4	1	0	10	71	35	69	4.29	1.60	854
"Sergio Romo RP  OAK"	63	76	0	0	0	1	1	2	0	18	62	22	56	4.57	1.24	855
"Connor Overton RP  CIN "	56	25	15	4	0	3	5	0	0	1	58	21	54	4.66	1.34	856
"Joel Payamps RP  KC"	59	50	0	0	0	1	2	1	0	6	49	19	56	3.66	1.27	858
"Jose Alvarado RP  PHI"	42	55	0	0	0	3	1	4	1	15	57	38	34	4.50	1.71	860
"Sam Long SP  SF"	37	20	8	2	0	3	2	0	0	0	32	12	31	4.62	1.16	861
"Kyle Funkhouser RP  DET "	57	54	0	0	0	4	2	1	0	8	55	35	55	4.11	1.58	862
"Bailey Falter RP  PHI"	36	21	8	2	0	3	4	0	0	0	38	6	35	5.25	1.14	863
"Tyler Alexander RP  DET "	114	26	26	5	0	1	9	0	0	0	86	28	120	4.26	1.30	864
"Archie Bradley RP  LAA "	61	72	0	0	0	3	3	1	0	19	55	26	66	3.84	1.51	865
