All Players   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Danny Coulombe RP  BAL "	47	67	0	0	0	3	2	1	0	24	63	17	48	3.25	1.38	752
"Ryan Walker RP  SF"	45	46	0	0	0	5	2	1	0	4	66	20	52	3.80	1.60	753
"A.J. Puk RP  MIA "	46	23	12	4	0	4	4	0	0	1	67	14	47	4.30	1.33	754
"Pedro Avila SP  SD"	49	22	10	3	0	4	4	0	0	0	53	24	42	3.31	1.35	755
"Joey Lucchesi SP  NYM "	50	25	13	4	0	5	3	0	0	1	43	18	48	3.60	1.32	759
"Alek Jacob RP  SD "	51	67	0	0	0	2	1	1	0	8	58	19	41	3.53	1.18	760
"Yimi Garcia RP  TOR"	53	64	0	0	0	2	2	4	1	21	66	14	55	4.08	1.30	762
"Steven Wilson RP  SD"	60	64	0	0	0	2	2	1	0	21	67	30	42	3.90	1.20	763
"Giovanny Gallegos RP  STL "	60	65	0	0	0	2	2	4	1	30	78	18	61	4.50	1.32	765
"Marco Gonzales SP  PIT "	137	25	25	14	0	8	9	0	0	0	86	50	147	4.40	1.44	766
"Jose Soriano RP  LAA"	71	68	0	0	0	2	3	1	0	28	102	41	61	4.06	1.44	767
"John McMillon RP  KC "	62	62	0	0	0	2	3	1	0	9	84	21	58	4.36	1.27	768
"Elijah Morgan RP  CLE"	48	25	12	4	0	4	4	0	0	1	55	15	47	3.94	1.29	770
"Julian Merryweather RP  CHC"	65	68	0	0	0	3	1	4	1	16	96	35	65	4.57	1.54	771
"Michael Baumann RP  BAL"	45	44	0	0	0	6	1	1	0	5	43	22	43	4.20	1.44	773
"Jose Urquidy SP  HOU"	53	25	12	4	0	5	3	0	0	0	39	15	48	4.25	1.19	774
